,0
649,10946.057
650,10232.052000000003
651,9842.051000000003
652,9834.053000000004
653,9197.055000000004
654,8807.056000000002
655,9017.053000000004
656,8152.051000000001
657,8551.050000000003
658,8356.051000000003
659,8602.049000000005
660,8402.051000000003
661,8402.052000000003
662,8207.053000000002
663,8402.053000000002
664,7762.055000000002
665,7722.054000000002
666,8057.056000000001
667,7747.058000000002
668,7747.057000000002
669,8042.055000000001
670,8132.058000000002
671,8369.057000000003
672,8709.059000000003
673,8514.060000000003
674,8846.062000000004
675,9228.063000000004
676,9623.062000000004
677,9808.062000000004
678,9966.062000000004
679,10356.063000000004
680,10016.064000000004
681,10021.065000000004
682,10016.068000000003
683,9966.070000000003
684,9136.071000000002
685,8846.071000000004
686,8161.072000000001
687,8156.077000000002
688,8158.076000000002
689,8152.081000000001
690,8107.083000000001
691,7902.087000000002
692,7965.085000000002
693,8110.087000000001
694,7923.086000000001
695,7583.0880000000025
696,7796.086000000002
697,7704.085000000002
698,7709.085000000002
699,7709.087000000002
700,8094.0880000000025
701,8286.089000000004
702,8726.090000000004
703,8726.090000000004
704,9161.092000000004
705,10228.091000000004
706,10992.093000000004
707,11052.092000000004
708,10757.093000000004
709,10968.092000000004
710,10383.093000000004
711,10138.092000000004
712,9798.091000000004
713,10043.092000000004
714,9840.095000000001
715,9795.093
716,8875.094000000001
717,9220.096000000001
718,9120.097000000002
719,8687.099
720,8575.103000000001
721,8880.106000000002
722,9021.110000000002
723,8847.112000000003
724,8457.113000000003
725,7527.118000000003
726,8212.117000000002
727,7772.121000000003
728,7887.120000000003
729,7692.120000000003
730,8472.124000000002
731,7842.126000000002
732,8053.127000000003
733,8185.131000000002
734,8778.134000000002
735,9215.138000000003
736,9927.139000000003
737,9983.142000000003
738,10276.141000000001
739,11149.147000000003
740,10206.153000000004
741,10114.157000000001
742,9149.161000000002
743,9404.166
744,9167.171
745,9030.176000000001
746,8256.176
747,8399.178000000002
748,8644.181000000002
749,8232.185000000001
750,9017.186000000003
751,9437.191000000003
752,9917.197000000004
753,9940.196000000004
754,9181.196000000004
755,9003.200000000003
756,8948.2
757,8745.205000000002
758,9021.201000000003
759,8563.204000000002
760,9164.209000000003
761,9359.213000000002
762,9661.215000000002
763,9328.217
764,9573.220000000003
765,10373.218000000003
766,10836.216000000002
767,10632.215000000002
768,10294.215000000002
769,10903.213000000002
770,9719.217
771,9444.216
772,8875.217
773,9468.217999999999
774,9210.221999999998
775,9067.222999999998
776,9033.229000000001
777,9051.23
778,9178.233
779,8840.234999999999
780,9274.238
781,9222.238999999998
782,9742.241000000002
783,9344.241999999998
784,8954.241999999998
785,9455.239000000001
786,9218.238000000001
787,9481.236
788,9879.235
789,9536.236
790,10565.235000000002
791,10500.237000000003
792,10573.234
793,10303.237000000001
794,10460.24
795,10462.240000000002
796,10830.238000000001
797,10787.234000000002
798,10857.232000000002
799,11502.230000000001
800,10515.232
801,9983.235999999997
802,9745.23
803,10067.232
804,9854.233
805,9854.230999999998
806,9590.228
807,9655.224
808,9564.224000000002
809,9317.216
810,9281.213
811,9567.208999999999
812,10300.204
813,9938.202
814,9735.198
815,9922.197
816,10134.198
817,10186.198
818,10238.195
819,9796.194000000003
820,10524.188000000002
821,10615.187000000002
822,10464.187000000002
823,10464.186000000002
824,10212.181
825,10214.177000000001
826,10281.177000000001
827,10130.177000000001
828,10270.175000000001
829,10847.171
830,10270.169000000002
831,9378.167000000001
832,8908.164
833,9417.161000000002
834,9807.155
835,9483.148000000001
836,9251.150000000001
837,9147.144000000002
838,9095.142000000003
839,8820.139000000003
840,8804.135000000002
841,9197.128000000002
842,9768.126000000004
843,9487.121000000003
844,9344.118000000002
845,9325.116000000002
846,9647.112000000001
847,9834.109
848,9714.105000000003
849,9487.101000000002
850,9762.096000000001
851,9689.096000000003
852,9922.093000000003
853,10012.091000000002
854,10597.085000000001
855,10817.083000000002
856,10354.085000000003
857,10044.084000000003
858,9984.081000000002
859,10374.080000000002
860,10030.080000000004
861,9640.078000000003
862,8465.073000000002
863,8920.066000000003
864,8933.062000000002
865,8525.056
866,8185.055000000002
867,8185.048000000001
868,7990.039000000001
869,7990.036
870,7795.034
871,7930.035
872,8760.033000000001
873,9285.033000000001
874,9090.033000000001
875,9098.031
876,9438.03
877,9446.027000000002
878,9449.025000000003
879,9259.022
880,9454.022
881,9241.023000000001
882,9383.023000000001
883,8790.023000000001
884,8998.021000000002
885,9143.021000000002
886,9163.020000000002
887,8618.022
888,8818.021000000002
889,9175.022
890,9565.022
891,9370.022
892,8510.021000000002
893,9048.020000000002
894,9048.020000000002
895,8503.021000000002
896,9140.020000000002
897,9020.021
898,9000.021000000002
899,8880.022
900,8295.022
901,8482.023000000001
902,9312.023000000001
903,8717.025000000003
904,8642.024000000003
905,9042.022000000003
906,9187.022000000003
907,9067.022000000003
908,8872.022000000003
909,8482.022000000003
910,8279.022000000003
911,8244.022000000003
912,8517.020000000002
913,8322.020000000002
914,8512.021000000002
915,9052.020000000002
916,8462.021000000002
917,8852.021000000002
918,8857.020000000002
919,9239.021000000002
920,9314.022000000003
921,9179.020000000002
922,8204.019000000002
923,8776.020000000002
924,8776.020000000002
925,8441.018000000002
926,8686.019
927,8483.019
928,8478.02
929,8665.02
930,8665.019
931,8860.019000000004
932,9495.018000000002
933,9110.016000000003
934,8784.014000000003
935,8719.016000000001
936,8864.016000000001
937,8474.016000000001
938,8079.017000000001
939,7694.0160000000005
940,7494.0160000000005
941,7299.0160000000005
942,7644.015
943,7444.015
944,7588.015
945,7580.016
946,7580.016
947,8365.015
948,8172.014
949,8167.015
950,8562.014000000001
951,8157.017000000001
952,7582.014000000001
953,8167.014000000001
954,8634.013
955,8634.013
956,8489.012
957,8294.010000000002
958,8634.009000000002
959,9029.007000000001
960,8879.008
961,9464.008
962,10300.007000000001
963,9905.008000000002
964,9644.007000000001
965,9839.008000000002
966,9794.008000000002
967,9209.008000000002
968,9209.010000000002
969,8814.012000000002
970,8419.015000000001
971,8029.015000000001
972,8375.014000000001
973,8180.015000000001
974,8380.014000000001
975,8192.013
976,8387.013
977,8972.014000000001
978,9017.017000000002
979,9212.018000000002
980,9217.017000000002
981,8437.017
982,7456.019
983,8045.019
984,7654.019000000001
985,7871.015000000001
986,7921.016000000001
987,7540.014000000001
988,7542.013000000001
989,7367.012000000001
990,7367.012000000001
991,8143.013000000001
992,8973.013000000003
993,8774.014000000003
994,8579.015000000003
995,8549.019000000004
996,8644.019000000002
997,9239.020000000002
998,9239.021000000002
999,9044.022000000003
1000,8467.021000000002
1001,8473.020000000002
1002,9062.019000000002
1003,8477.019000000002
1004,8671.019000000002
1005,8481.018000000002
1006,8676.020000000002
1007,8618.024000000003
1008,8822.023000000003
1009,9625.021000000002
1010,10019.020000000002
1011,9438.019000000004
1012,8073.020000000002
1013,8262.021000000002
1014,8255.023000000001
1015,8060.023000000002
1016,7185.024000000002
1017,7229.024000000002
1018,7216.026000000003
1019,6988.024000000002
1020,7194.023000000002
1021,7779.023000000002
1022,8760.021000000002
1023,8774.019000000002
1024,8379.022000000003
1025,8561.025000000003
1026,8856.025000000003
1027,8661.028000000002
1028,8672.029000000002
1029,8581.025000000003
1030,8039.027000000002
1031,8206.027000000002
1032,8408.028
1033,8610.029
1034,8813.027
1035,8473.028
1036,8863.028
1037,9050.03
1038,9056.030000000002
1039,9531.030000000002
1040,9871.031
1041,9051.031000000003
1042,7728.0300000000025
1043,7974.029000000003
1044,7824.027000000003
1045,8168.028000000004
1046,7638.031000000004
1047,7851.030000000003
1048,8114.025000000003
1049,7674.025000000003
1050,7489.0260000000035
1051,8283.023000000003
1052,9064.025000000005
1053,9046.030000000004
1054,8863.028000000004
1055,9312.026000000003
1056,9600.026000000003
1057,9218.025000000003
1058,9158.028000000004
1059,9040.026000000003
1060,8898.026000000002
1061,8769.024000000001
1062,8964.025000000003
1063,8937.029000000004
1064,9334.026000000003
1065,9143.025000000001
1066,9340.03
1067,9478.035
1068,9299.030999999999
1069,9687.032000000003
1070,10107.029000000002
1071,9274.032000000001
1072,8882.032000000001
1073,8632.032000000001
1074,8681.034000000001
1075,8612.035000000002
1076,8328.037000000002
1077,8535.040000000003
1078,8696.045000000004
1079,8227.048000000004
1080,8027.0490000000045
1081,8237.050000000003
1082,8120.058000000003
1083,8344.059000000003
1084,8343.060000000003
1085,8496.060000000005
1086,8239.061000000003
1087,7865.061000000004
1088,7881.064000000004
1089,8280.065000000004
1090,8266.071000000005
1091,8654.076000000005
1092,8619.078000000005
1093,8834.084000000006
1094,9052.091000000004
1095,8872.097000000005
1096,9070.097000000005
1097,9142.100000000006
1098,8766.111000000004
1099,8859.117000000007
1100,9362.118000000006
1101,8796.123000000003
1102,8075.130000000005
1103,8114.132000000006
1104,8433.132000000005
1105,9013.134000000007
1106,9696.135000000007
1107,10002.134000000007
1108,10184.139000000008
1109,9838.139000000008
1110,10083.141000000009
1111,10537.142000000007
1112,10605.144000000008
1113,11023.141000000007
1114,10445.144000000008
1115,10637.146000000008
1116,10102.153000000008
1117,10053.154000000008
1118,10164.160000000009
1119,10920.160000000009
1120,10413.16300000001
1121,10770.163000000008
1122,10794.165000000008
1123,11214.165000000008
1124,11722.16700000001
1125,11394.168000000007
1126,11633.170000000007
1127,11726.172000000006
1128,11245.178000000007
1129,10909.179000000007
1130,11273.182000000008
1131,10671.187000000009
1132,10387.182000000008
1133,9985.182000000008
1134,9920.18900000001
